insert_time,exchange_name,currency_name,price
1.51E+12,GDAX,BTC-USD,17249.87
1.51E+12,GDAX,BTC-USD,17249.87
1.51E+12,GDAX,BTC-USD,17249.88
1.51E+12,GDAX,BTC-USD,17249.88
1.51E+12,GDAX,BTC-USD,17249.88
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.9
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.91
1.51E+12,GDAX,BTC-USD,17249.8
1.51E+12,GDAX,BTC-USD,17249.8
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17249
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17248.99
1.51E+12,GDAX,BTC-USD,17240.42
1.51E+12,GDAX,BTC-USD,17240.42
1.51E+12,GDAX,BTC-USD,17240.42
1.51E+12,GDAX,BTC-USD,17240.42
1.51E+12,GDAX,BTC-USD,17240.42
1.51E+12,GDAX,BTC-USD,17240.42
1.51E+12,GDAX,BTC-USD,17225
1.51E+12,GDAX,BTC-USD,17225
1.51E+12,GDAX,BTC-USD,17225
1.51E+12,GDAX,BTC-USD,17223.79
1.51E+12,GDAX,BTC-USD,17223.79
1.51E+12,GDAX,BTC-USD,17223.79
1.51E+12,GDAX,BTC-USD,17223.79
1.51E+12,GDAX,BTC-USD,17223.79
1.51E+12,GDAX,BTC-USD,17223.79
1.51E+12,GDAX,BTC-USD,17222.45
1.51E+12,GDAX,BTC-USD,17222.45
1.51E+12,GDAX,BTC-USD,17215.93
1.51E+12,GDAX,BTC-USD,17215.56
1.51E+12,GDAX,BTC-USD,17215.57
1.51E+12,GDAX,BTC-USD,17207.46
1.51E+12,GDAX,BTC-USD,17198.87
1.51E+12,GDAX,BTC-USD,17198.86
1.51E+12,GDAX,BTC-USD,17199.04
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.22
1.51E+12,GDAX,BTC-USD,17191.22
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.22
1.51E+12,GDAX,BTC-USD,17191.22
1.51E+12,GDAX,BTC-USD,17191.22
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.22
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.22
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.23
1.51E+12,GDAX,BTC-USD,17191.22
1.51E+12,GDAX,BTC-USD,17185.02
1.51E+12,GDAX,BTC-USD,17200.01
1.51E+12,GDAX,BTC-USD,17200.01
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200.01
1.51E+12,GDAX,BTC-USD,17200.01
1.51E+12,GDAX,BTC-USD,17200.01
1.51E+12,GDAX,BTC-USD,17200.01
1.51E+12,GDAX,BTC-USD,17200.01
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200.01
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17200
1.51E+12,GDAX,BTC-USD,17205.98
1.51E+12,GDAX,BTC-USD,17205.97
1.51E+12,GDAX,BTC-USD,17205.97
1.51E+12,GDAX,BTC-USD,17205.97
1.51E+12,GDAX,BTC-USD,17205.97
1.51E+12,GDAX,BTC-USD,17205.98
1.51E+12,GDAX,BTC-USD,17205.98
1.51E+12,GDAX,BTC-USD,17205.97
1.51E+12,GDAX,BTC-USD,17205.98
1.51E+12,GDAX,BTC-USD,17205.98
1.51E+12,GDAX,BTC-USD,17205.98
1.51E+12,GDAX,BTC-USD,17205.97
1.51E+12,GDAX,BTC-USD,17206.01
1.51E+12,GDAX,BTC-USD,17206.02
1.51E+12,GDAX,BTC-USD,17206.01
1.51E+12,GDAX,BTC-USD,17206.02
